STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING,THEFT,DOWRY_DEATHS,OTHER_CRIMES,TOTAL_CRIMES
1,3,2001,161,50,46,438,16,3443,4154
1,35,2001,276,23,53,573,7,3193,4125
1,184,2001,158,27,59,974,14,4586,5818
1,204,2001,133,20,25,275,17,2670,3140
1,260,2001,149,23,49,1483,12,4791,6507
1,323,2001,4,0,0,164,0,119,287
1,324,2001,270,54,82,1519,7,5916,7848
1,355,2001,224,37,80,4014,24,7452,11831
1,448,2001,247,56,67,660,62,4719,5811
1,462,2001,153,47,41,553,17,3771,4582
1,505,2001,116,37,36,656,10,3924,4779
1,511,2001,205,29,47,474,13,3813,4581
1,542,2001,224,59,42,592,14,3888,4819
1,566,2001,157,35,26,531,26,2757,3532
1,613,2001,182,35,27,479,31,4248,5002
1,629,2001,158,46,90,868,10,4073,5245
1,633,2001,155,21,38,414,19,2974,3621
1,682,2001,184,19,31,439,5,3000,3678
1,726,2001,309,72,106,2450,37,6893,9867
1,768,2001,6,0,0,308,1,124,439
1,825,2001,48,8,12,353,6,2145,2572
1,912,2001,97,25,70,2575,2,3964,6733
1,915,2001,3,1,0,266,0,50,320
1,919,2001,87,12,12,244,3,2825,3183
1,920,2001,32,13,13,958,0,2406,3422
1,921,2001,47,8,8,245,0,1870,2178
1,926,2001,237,53,81,707,52,5189,6319
1,932,2001,135,61,41,1388,15,4056,5696
1,872,2001,4157,871,1182,24600,420,98859,130089
2,168,2001,13,1,3,46,0,100,163
2,248,2001,8,2,4,42,0,83,139
2,429,2001,4,2,7,40,0,73,126
2,430,2001,6,0,2,32,0,63,103
2,528,2001,22,2,6,59,0,101,190
2,658,2001,19,9,15,197,0,258,498
2,785,2001,7,5,11,85,0,135,243
2,786,2001,2,2,5,14,0,33,56
2,787,2001,19,4,17,116,0,205,361
2,833,2001,18,2,6,49,0,73,148
2,834,2001,4,2,1,42,0,91,140
2,847,2001,2,1,0,16,0,29,48
2,867,2001,12,1,6,37,0,71,127
2,872,2001,136,33,83,775,0,1315,2342
3,87,2001,69,28,105,325,10,1241,1778
3,137,2001,67,20,36,204,1,482,810
3,151,2001,0,0,0,1,0,7,8
3,152,2001,82,45,104,590,7,2634,3462
3,219,2001,74,48,64,325,9,934,1454
3,243,2001,31,42,31,117,0,431,652
3,246,2001,88,43,69,181,5,1119,1505
3,249,2001,132,35,57,468,3,870,1565
3,281,2001,14,1,3,162,0,163,343
3,309,2001,40,35,43,190,1,564,873
3,311,2001,55,30,44,333,0,704,1166
3,328,2001,115,37,129,1036,5,3051,4373
3,330,2001,22,24,36,193,2,543,820
3,418,2001,62,42,37,300,2,747,1190
3,431,2001,67,21,95,512,2,1314,2011
3,445,2001,91,5,38,125,4,458,721
3,447,2001,52,33,42,176,1,539,843
3,484,2001,114,14,41,141,0,466,776
3,519,2001,47,64,72,366,0,1230,1779
3,580,2001,29,23,39,160,0,480,731
3,600,2001,25,2,8,52,0,100,187
3,603,2001,117,51,119,812,1,2102,3202
3,612,2001,115,30,53,254,3,739,1194
3,696,2001,11,3,2,32,0,53,101
3,788,2001,83,47,64,385,0,1064,1643
3,813,2001,111,53,87,552,1,1505,2309
3,866,2001,124,41,62,485,2,667,1381
3,872,2001,1837,817,1480,8477,59,24207,36877
4,42,2001,74,93,79,284,11,1528,2069
4,45,2001,101,0,13,52,7,418,591
4,50,2001,120,16,24,268,33,1229,1690
4,58,2001,101,25,56,131,0,599,912
4,77,2001,109,34,27,163,9,1044,1386
4,96,2001,201,13,53,408,21,1932,2628
4,106,2001,75,20,84,390,17,2210,2796
4,108,2001,66,10,43,306,8,935,1368
4,110,2001,201,35,66,552,20,1760,2634
4,120,2001,168,22,46,377,23,2170,2806
4,148,2001,94,8,34,289,15,1234,1674
4,217,2001,117,19,39,205,37,2155,2572
4,304,2001,370,25,66,679,26,2016,3182
4,314,2001,199,13,59,307,22,1498,2098
4,393,2001,7,1,4,131,0,82,225
4,401,2001,141,10,14,135,16,730,1046
4,405,2001,153,6,35,196,25,938,1353
4,454,2001,107,51,49,225,6,1373,1811
4,456,2001,7,0,3,252,0,155,417
4,461,2001,99,5,34,132,11,614,895
4,479,2001,40,22,23,101,4,707,897
4,520,2001,105,10,30,117,6,486,754
4,536,2001,79,11,49,113,6,804,1062
4,537,2001,100,13,36,201,12,2535,2897
4,581,2001,212,44,100,455,37,3033,3881
4,589,2001,159,11,45,243,8,1292,1758
4,592,2001,315,73,113,791,69,2851,4212
4,594,2001,16,2,5,336,0,179,538
4,611,2001,457,40,126,601,47,2208,3479
4,622,2001,101,7,29,57,4,372,570
4,625,2001,131,15,42,134,17,1176,1515
4,668,2001,1015,27,197,2408,90,4846,8583
4,670,2001,45,1,3,836,0,242,1127
4,694,2001,193,39,64,424,8,1326,2054
4,735,2001,239,25,72,529,36,2060,2961
4,744,2001,187,12,27,95,7,738,1066
4,751,2001,222,19,75,402,11,2124,2853
4,759,2001,207,20,65,435,67,2648,3442
4,777,2001,29,3,16,116,9,631,804
4,778,2001,18,11,13,29,3,354,428
4,803,2001,56,23,34,194,13,1477,1797
4,806,2001,266,4,51,289,32,1211,1853
4,838,2001,102,30,26,218,7,1289,1672
4,905,2001,258,20,90,531,59,3118,4076
4,872,2001,7062,888,2159,15137,859,62327,88432
6,71,2001,15,17,1,58,1,143,235
6,130,2001,141,69,20,1278,7,2838,4353
6,133,2001,22,4,0,18,0,42,86
6,216,2001,120,19,11,128,1,460,739
6,234,2001,20,22,4,235,1,714,996
6,258,2001,142,144,57,1536,12,4653,6544
6,317,2001,3,0,0,214,0,98,315
6,373,2001,115,59,6,341,3,1288,1812
6,402,2001,77,29,9,455,9,1480,2059
6,403,2001,53,36,2,159,2,467,719
6,435,2001,48,42,4,125,1,540,760
6,495,2001,46,46,13,534,1,1472,2112
6,496,2001,60,34,7,387,3,1153,1644
6,544,2001,38,43,7,260,6,831,1185
6,700,2001,74,53,6,398,2,1117,1650
6,709,2001,194,104,38,1804,16,4630,6786
6,716,2001,63,58,4,535,3,1987,2650
6,760,2001,147,145,17,715,1,2105,3130
6,872,2001,1409,959,207,9294,70,26521,38460
10,637,2001,38,4,4,490,2,733,1271
10,817,2001,28,8,5,470,0,559,1070
10,872,2001,66,12,9,960,2,1292,2341
11,7,2001,148,39,143,4475,7,8684,13496
11,8,2001,43,5,27,372,0,1699,2146
11,10,2001,6,1,2,15,0,123,147
11,30,2001,52,2,39,351,2,1745,2191
11,34,2001,44,3,30,636,0,3166,3879
11,113,2001,51,4,39,555,0,2403,3052
11,115,2001,92,9,60,812,2,4113,5088
11,209,2001,44,5,15,240,0,1413,1717
11,292,2001,36,4,15,789,3,2631,3478
11,343,2001,64,17,31,424,4,3473,4013
11,396,2001,75,20,27,754,2,2979,3857
11,419,2001,93,14,46,851,11,4171,5186
11,473,2001,47,11,30,536,0,3227,3851
11,514,2001,63,2,24,451,2,2813,3355
11,568,2001,45,4,58,797,5,4266,5175
11,618,2001,19,8,9,60,0,440,536
11,624,2001,32,2,6,231,0,1133,1404
11,649,2001,97,18,41,679,2,3050,3887
11,654,2001,69,5,46,479,0,1936,2535
11,664,2001,42,3,21,315,0,2066,2447
11,679,2001,24,6,5,163,0,1017,1215
11,714,2001,62,5,46,1582,3,3076,4774
11,715,2001,66,20,40,599,2,3675,4402
11,841,2001,117,11,57,1834,20,1956,3995
11,842,2001,70,26,23,347,0,1300,1766
11,843,2001,55,11,29,320,2,2696,3113
11,903,2001,48,3,35,1280,0,3681,5047
11,904,2001,84,18,38,298,0,2699,3137
11,906,2001,52,9,16,703,0,2329,3109
11,922,2001,23,1,0,1019,0,378,1421
11,872,2001,1763,286,998,21967,67,78338,103419
12,21,2001,49,11,38,699,11,1538,2346
12,119,2001,60,10,9,341,33,1402,1855
12,270,2001,106,37,78,948,19,4620,5808
12,272,2001,41,17,20,248,17,871,1214
12,316,2001,27,0,2,175,5,406,615
12,327,2001,99,32,50,1139,17,2165,3502
12,345,2001,98,10,26,709,24,1963,2830
12,407,2001,76,21,14,306,20,1064,1501
12,414,2001,58,21,12,327,11,1023,1452
12,426,2001,48,16,9,256,9,857,1195
12,449,2001,66,44,31,692,18,1532,2383
12,512,2001,28,31,14,488,10,1182,1753
12,546,2001,36,11,13,176,8,925,1169
12,653,2001,19,6,18,349,4,658,1054
12,656,2001,69,38,19,644,11,1114,1895
12,732,2001,34,11,13,248,12,896,1214
12,734,2001,86,28,13,623,17,1089,1856
12,802,2001,70,17,18,439,12,1212,1768
12,812,2001,122,15,26,505,18,1258,1944
12,935,2001,56,22,26,311,9,981,1405
12,872,2001,1248,398,449,9623,285,26756,38759
13,130,2001,18,5,10,102,1,938,1074
13,160,2001,16,12,17,122,0,388,555
13,281,2001,1,0,0,1,0,2,4
13,331,2001,7,3,3,47,1,686,747
13,434,2001,40,18,30,258,1,1688,2035
13,477,2001,5,6,3,26,0,107,147
13,509,2001,14,13,7,68,0,528,630
13,518,2001,1,2,1,7,0,39,50
13,556,2001,26,16,11,174,0,1520,1747
13,780,2001,27,18,13,365,2,1539,1964
13,800,2001,8,10,13,68,3,601,703
13,807,2001,19,12,13,137,2,947,1130
13,894,2001,12,9,5,97,0,590,713
13,872,2001,194,124,126,1472,10,9573,11499
14,36,2001,115,6,59,225,0,699,1104
14,53,2001,28,1,14,44,0,229,316
14,82,2001,299,28,75,286,0,845,1533
14,138,2001,48,12,10,43,0,595,708
14,142,2001,181,7,40,161,0,423,812
14,199,2001,0,0,0,0,0,27,27
14,201,2001,0,0,0,0,0,69,69
14,255,2001,251,7,15,43,0,311,627
14,291,2001,32,5,33,72,0,253,395
14,395,2001,109,13,43,721,5,2716,3607
14,446,2001,0,0,2,8,0,72,82
14,453,2001,44,13,11,89,3,657,817
14,508,2001,55,6,35,96,0,443,635
14,510,2001,410,6,47,76,0,488,1027
14,526,2001,4,0,1,13,0,119,137
14,678,2001,289,13,16,80,0,368,766
14,686,2001,136,7,37,237,0,466,883
14,704,2001,2,0,0,4,0,11,17
14,717,2001,173,17,20,53,3,699,965
14,721,2001,101,3,7,24,0,402,537
14,730,2001,111,7,11,30,0,230,389
14,826,2001,112,8,115,931,0,1876,3042
14,887,2001,49,10,15,189,2,745,1010
14,872,2001,2549,169,606,3425,13,12743,19505
15,135,2001,145,26,38,609,25,1093,1936
15,158,2001,143,32,17,146,0,331,669
15,169,2001,50,6,10,125,7,550,748
15,229,2001,129,22,7,210,10,728,1106
15,235,2001,128,32,57,797,30,1872,2916
15,237,2001,11,2,4,231,0,112,360
15,256,2001,95,27,24,122,3,745,1016
15,295,2001,38,11,5,103,15,616,788
15,308,2001,128,42,15,254,30,1449,1918
15,310,2001,61,37,30,154,1,747,1030
15,320,2001,154,29,16,131,0,328,658
15,342,2001,111,41,42,566,31,1707,2498
15,397,2001,271,50,60,504,6,1821,2712
15,399,2001,4,1,0,72,0,71,148
15,400,2001,52,18,14,98,5,286,473
15,482,2001,39,2,14,119,11,482,667
15,523,2001,62,12,4,70,6,226,380
15,527,2001,37,12,14,53,0,195,311
15,646,2001,50,23,7,55,7,341,483
15,648,2001,125,15,14,197,18,1092,1461
15,725,2001,308,73,1,789,4,427,1602
15,745,2001,81,20,17,113,3,394,628
15,758,2001,100,17,19,178,4,374,692
15,796,2001,51,17,12,44,1,122,247
15,872,2001,2373,567,441,5740,217,16109,25447
